"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2022","17.49","17.49","17.76","17.44","2.47M","-0.96%"
"10/31/2022","17.66","18.07","18.07","17.62","2.09M","-1.51%"
"10/28/2022","17.93","18.37","18.38","17.78","3.82M","-2.34%"
"10/27/2022","18.36","18.64","18.72","18.26","2.39M","-1.98%"
"10/26/2022","18.73","19.31","19.33","18.64","2.91M","-2.30%"
"10/25/2022","19.17","19.96","20.02","19.12","2.46M","-3.86%"
"10/24/2022","19.94","20.03","20.56","19.88","1.84M","-1.53%"
"10/21/2022","20.25","20.21","20.32","19.84","2.72M","-0.39%"
"10/20/2022","20.33","20.48","20.64","19.92","2.60M","-1.31%"
"10/19/2022","20.60","20.58","20.92","20.30","3.16M","0.78%"
"10/18/2022","20.44","20.43","20.97","20.34","3.04M","-1.92%"
"10/17/2022","20.84","20.81","20.91","20.40","3.42M","-2.84%"
"10/14/2022","21.45","20.55","21.81","20.44","4.86M","2.24%"
"10/13/2022","20.98","21.99","21.99","20.76","5.08M","-2.60%"
"10/12/2022","21.54","21.64","21.83","21.32","3.16M","-1.01%"
"10/11/2022","21.76","21.59","22.06","21.07","2.71M","1.54%"
"10/10/2022","21.43","21.06","21.95","21.02","2.34M","2.49%"
"10/07/2022","20.91","20.35","21.08","20.30","3.12M","4.08%"
"10/06/2022","20.09","19.43","20.19","19.27","1.70M","2.92%"
"10/05/2022","19.52","19.74","20.15","19.38","1.95M","0.67%"
"10/04/2022","19.39","19.36","19.65","19.18","3.53M","-3.77%"
"10/03/2022","20.15","20.48","20.66","19.76","3.69M","-5.00%"
"09/30/2022","21.21","20.70","21.21","20.02","3.03M","2.86%"
"09/29/2022","20.62","20.60","21.50","20.58","4.72M","2.74%"
"09/28/2022","20.07","20.80","21.12","19.82","4.22M","-4.20%"
"09/27/2022","20.95","20.06","21.43","19.98","3.39M","1.90%"
"09/26/2022","20.56","20.34","20.78","19.57","6.35M","3.73%"
"09/23/2022","19.82","19.26","20.84","19.26","5.64M","4.81%"
"09/22/2022","18.91","18.70","19.22","18.56","2.42M","0.27%"
"09/21/2022","18.86","18.19","18.90","17.86","3.24M","2.44%"
