Id,Start,Name,Impact,Currency
ed0fb3ff-8047-47ac-8a02-cf2647bf994c,05/05/2015 14:00:00,ISM Services PMI,HIGH,USD
a6084f8b-9842-4536-a1e0-6eaf46e0b36d,05/08/2015 12:30:00,Nonfarm Payrolls,HIGH,USD
c4d32a9f-b26a-4d80-9c81-aac9cf1a7c18,05/08/2015 12:30:00,Unemployment Rate,HIGH,USD
13308458-1e30-4c8b-8594-1d81ac550e9a,05/20/2015 18:00:00,FOMC Minutes,HIGH,USD
3d10f9b6-30d7-469e-bd5a-c28122947df9,05/22/2015 12:30:00,Consumer Price Index (YoY),HIGH,USD
843ca653-7c21-464d-8c70-5097b8d50174,05/22/2015 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
7f7b9275-52fd-408f-8cc5-e7233ce6a69a,05/22/2015 17:00:00,Fed's Chair Yellen speech,HIGH,USD
4f94fa55-ff16-40e4-a180-7281a2908c92,05/26/2015 12:30:00,Durable Goods Orders,HIGH,USD
17cf3952-2317-45b6-897e-e01a0d817ecf,05/26/2015 12:30:00,Durable Goods Orders ex Transportation,HIGH,USD
40e9cc8d-4564-476b-8102-2d11b790031f,05/29/2015 12:30:00,Gross Domestic Product Annualized,HIGH,USD
3f02b745-2ab8-42e2-8380-455302edd740,06/01/2015 14:00:00,ISM Manufacturing PMI,HIGH,USD
b0458f02-0b4d-44f8-a222-ea18847c9c71,06/05/2015 12:30:00,Nonfarm Payrolls,HIGH,USD
cfe0bd3b-7889-4d28-8af9-67085281a4b1,06/05/2015 12:30:00,Unemployment Rate,HIGH,USD
01c08744-0a12-4bef-8f31-5402ba968981,06/17/2015 18:00:00,Fed Interest Rate Decision,HIGH,USD
02118de6-5171-4ff9-a354-0751af19f896,06/17/2015 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
0ef58231-ef11-4e6c-b349-1b4b1b966d11,06/17/2015 18:30:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
9913b913-6e8a-4399-894b-c6f9a9da6ec0,06/18/2015 12:30:00,Consumer Price Index (YoY),HIGH,USD
a581262e-7180-4e34-8175-2b077bb3921c,06/18/2015 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
b6b845db-b3c9-4548-9c4e-5aa946c81f59,06/23/2015 12:30:00,Durable Goods Orders,HIGH,USD
81dd1f3a-7a40-4da5-89cf-18709d74e433,06/23/2015 12:30:00,Durable Goods Orders ex Transportation,HIGH,USD
ac3e3280-d951-4107-8d08-be3aec9b2d6a,06/24/2015 12:30:00,Gross Domestic Product Annualized,HIGH,USD
58349087-7e59-4e78-bc27-54827ab81aa0,06/24/2015 12:30:00,Gross Domestic Product Price Index,HIGH,USD
7664a0c7-8c77-4ce4-8a37-1b3cab8afaf5,07/01/2015 14:00:00,ISM Manufacturing PMI,HIGH,USD
6181c529-e014-4e96-9fe4-9f398e5888aa,07/02/2015 12:30:00,Nonfarm Payrolls,HIGH,USD
80820955-7ec2-42f3-9fdf-d17563b7e2c6,07/02/2015 12:30:00,Unemployment Rate,HIGH,USD
f62f5201-f6e9-499b-8d96-4750032f2302,07/08/2015 18:00:00,FOMC Minutes,HIGH,USD
a9e4544e-d9e5-42c0-8572-a938c6983d70,07/16/2015 18:30:00,Fed's Chair Yellen testifies,HIGH,USD
554e9e50-b89f-4ca0-8e4f-d45292bdaad2,07/17/2015 12:30:00,Consumer Price Index (YoY),HIGH,USD
0844d57e-3636-48c3-bdf8-18fa81c38d2e,07/17/2015 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
59efb386-416d-4302-bed8-c3d35c0279d0,07/27/2015 12:30:00,Durable Goods Orders,HIGH,USD
141517c2-b9e6-4bc9-8342-7e1ae016509b,07/27/2015 12:30:00,Durable Goods Orders ex Transportation,HIGH,USD
